,Initial_ID,INDI_ID,ec,eo
0,sub-010002,sub-032301,False,False
1,sub-010003,sub-032302,True,True
2,sub-010004,sub-032303,True,False
3,sub-010005,sub-032304,True,False
4,sub-010006,sub-032305,False,False
5,sub-010007,sub-032306,True,True
6,sub-010010,sub-032307,False,False
7,sub-010012,sub-032308,True,False
8,sub-010015,sub-032309,False,False
9,sub-010016,sub-032310,False,True
10,sub-010017,sub-032311,True,False
11,sub-010019,sub-032312,True,True
12,sub-010020,sub-032313,False,False
13,sub-010021,sub-032314,False,False
14,sub-010022,sub-032315,False,False
15,sub-010023,sub-032316,True,False
16,sub-010024,sub-032317,False,False
17,sub-010026,sub-032318,False,False
18,sub-010027,sub-032319,True,True
19,sub-010028,sub-032320,True,True
20,sub-010029,sub-032321,True,True
21,sub-010030,sub-032322,False,False
22,sub-010031,sub-032323,True,False
23,sub-010032,sub-032324,False,False
24,sub-010033,sub-032325,True,False
25,sub-010034,sub-032326,False,False
26,sub-010035,sub-032327,True,True
27,sub-010036,sub-032328,False,False
28,sub-010037,sub-032329,False,True
29,sub-010038,sub-032330,True,False
30,sub-010039,sub-032331,False,False
31,sub-010040,sub-032332,True,True
32,sub-010041,sub-032333,False,False
33,sub-010042,sub-032334,False,False
34,sub-010043,sub-032335,False,False
35,sub-010044,sub-032336,True,True
36,sub-010045,sub-032337,False,False
37,sub-010046,sub-032338,False,False
38,sub-010047,sub-032339,False,False
39,sub-010048,sub-032340,True,False
40,sub-010049,sub-032341,True,False
41,sub-010050,sub-032342,False,True
42,sub-010051,sub-032343,False,False
43,sub-010052,sub-032344,True,False
44,sub-010053,sub-032345,False,False
45,sub-010056,sub-032346,True,False
46,sub-010059,sub-032347,False,True
47,sub-010060,sub-032348,False,False
48,sub-010061,sub-032349,False,False
49,sub-010062,sub-032350,False,False
50,sub-010063,sub-032351,False,False
51,sub-010064,sub-032352,False,True
52,sub-010065,sub-032353,False,False
53,sub-010066,sub-032354,False,False
54,sub-010067,sub-032355,False,False
55,sub-010068,sub-032356,False,False
56,sub-010069,sub-032357,False,False
57,sub-010070,sub-032358,True,False
58,sub-010071,sub-032359,False,False
59,sub-010072,sub-032360,True,True
60,sub-010073,sub-032361,False,True
61,sub-010074,sub-032362,True,False
62,sub-010075,sub-032363,True,False
63,sub-010076,sub-032364,True,True
64,sub-010077,sub-032365,False,False
65,sub-010078,sub-032366,False,False
66,sub-010079,sub-032367,False,False
67,sub-010080,sub-032368,False,False
68,sub-010081,sub-032369,False,True
69,sub-010083,sub-032370,True,True
70,sub-010084,sub-032371,False,False
71,sub-010085,sub-032372,False,True
72,sub-010086,sub-032373,False,False
73,sub-010087,sub-032374,False,False
74,sub-010088,sub-032375,False,False
75,sub-010089,sub-032376,False,False
76,sub-010090,sub-032377,True,True
77,sub-010091,sub-032378,True,False
78,sub-010092,sub-032379,False,True
79,sub-010093,sub-032380,True,True
80,sub-010094,sub-032381,False,False
81,sub-010100,sub-032382,False,False
82,sub-010104,sub-032383,True,False
83,sub-010110,sub-032384,False,False
84,sub-010126,sub-032385,True,True
85,sub-010134,sub-032386,True,False
86,sub-010136,sub-032387,True,True
87,sub-010137,sub-032388,True,False
88,sub-010138,sub-032389,True,False
89,sub-010141,sub-032390,True,True
90,sub-010142,sub-032391,False,True
91,sub-010146,sub-032392,True,False
92,sub-010148,sub-032393,True,True
93,sub-010150,sub-032394,False,False
94,sub-010152,sub-032395,True,True
95,sub-010155,sub-032396,False,False
96,sub-010157,sub-032397,False,True
97,sub-010162,sub-032398,False,False
98,sub-010163,sub-032399,True,True
99,sub-010164,sub-032400,False,True
100,sub-010165,sub-032401,True,False
101,sub-010166,sub-032402,False,False
102,sub-010168,sub-032403,True,False
103,sub-010169,sub-032404,False,False
104,sub-010170,sub-032405,False,True
105,sub-010176,sub-032406,True,False
106,sub-010183,sub-032407,False,False
107,sub-010191,sub-032408,True,False
108,sub-010192,sub-032409,True,False
109,sub-010193,sub-032410,False,False
110,sub-010194,sub-032411,False,False
111,sub-010195,sub-032412,False,False
112,sub-010196,sub-032413,True,False
113,sub-010197,sub-032414,False,False
114,sub-010199,sub-032415,False,False
115,sub-010200,sub-032416,False,False
116,sub-010201,sub-032417,False,False
117,sub-010202,sub-032418,False,False
118,sub-010203,sub-032419,False,False
119,sub-010204,sub-032420,False,False
120,sub-010207,sub-032421,True,True
121,sub-010210,sub-032422,True,False
122,sub-010213,sub-032423,True,True
123,sub-010214,sub-032424,True,False
124,sub-010215,sub-032425,False,False
125,sub-010216,sub-032426,False,False
126,sub-010218,sub-032427,True,True
127,sub-010219,sub-032428,False,False
128,sub-010220,sub-032429,True,True
129,sub-010222,sub-032430,False,False
130,sub-010223,sub-032431,True,True
131,sub-010224,sub-032432,True,True
132,sub-010225,sub-032433,False,False
133,sub-010226,sub-032434,False,False
134,sub-010227,sub-032435,True,True
135,sub-010228,sub-032436,False,False
136,sub-010229,sub-032437,True,True
137,sub-010230,sub-032438,True,False
138,sub-010231,sub-032439,False,False
139,sub-010232,sub-032440,False,False
140,sub-010233,sub-032441,True,False
141,sub-010234,sub-032442,False,False
142,sub-010235,sub-032443,False,False
143,sub-010236,sub-032444,False,False
144,sub-010237,sub-032445,False,False
145,sub-010238,sub-032446,False,False
146,sub-010239,sub-032447,False,False
147,sub-010240,sub-032448,True,False
148,sub-010241,sub-032449,True,False
149,sub-010242,sub-032450,False,False
150,sub-010243,sub-032451,True,False
151,sub-010244,sub-032452,True,True
152,sub-010245,sub-032453,False,False
153,sub-010246,sub-032454,True,True
154,sub-010247,sub-032455,True,True
155,sub-010248,sub-032456,True,True
156,sub-010249,sub-032457,False,True
157,sub-010250,sub-032458,False,False
158,sub-010251,sub-032459,True,False
159,sub-010252,sub-032460,False,False
160,sub-010253,sub-032461,False,False
161,sub-010254,sub-032462,False,True
162,sub-010255,sub-032463,True,False
163,sub-010256,sub-032464,True,True
164,sub-010257,sub-032465,False,False
165,sub-010258,sub-032466,False,False
166,sub-010260,sub-032467,True,False
167,sub-010261,sub-032468,False,True
168,sub-010262,sub-032469,False,False
169,sub-010263,sub-032470,False,False
170,sub-010264,sub-032471,True,False
171,sub-010265,sub-032472,True,True
172,sub-010266,sub-032473,False,True
173,sub-010267,sub-032474,True,False
174,sub-010268,sub-032475,False,False
175,sub-010269,sub-032476,True,True
176,sub-010270,sub-032477,True,True
177,sub-010271,sub-032478,True,False
178,sub-010272,sub-032479,False,False
179,sub-010273,sub-032480,True,False
180,sub-010274,sub-032481,False,False
181,sub-010275,sub-032482,True,True
182,sub-010276,sub-032483,False,False
183,sub-010277,sub-032484,False,False
184,sub-010278,sub-032485,False,False
185,sub-010279,sub-032486,False,False
186,sub-010280,sub-032487,False,False
187,sub-010281,sub-032488,False,False
188,sub-010282,sub-032489,False,False
189,sub-010283,sub-032490,False,False
190,sub-010284,sub-032491,False,True
191,sub-010285,sub-032492,False,False
192,sub-010286,sub-032493,False,False
193,sub-010287,sub-032494,False,False
194,sub-010288,sub-032495,False,False
195,sub-010289,sub-032496,True,False
196,sub-010290,sub-032497,True,False
197,sub-010291,sub-032498,True,False
198,sub-010292,sub-032499,True,True
199,sub-010293,sub-032500,False,False
200,sub-010294,sub-032501,True,False
201,sub-010295,sub-032502,True,True
202,sub-010296,sub-032503,True,False
203,sub-010297,sub-032504,True,True
204,sub-010298,sub-032505,False,False
205,sub-010299,sub-032506,False,False
206,sub-010300,sub-032507,False,False
207,sub-010301,sub-032508,True,True
208,sub-010302,sub-032509,False,False
209,sub-010303,sub-032510,False,False
210,sub-010304,sub-032511,False,True
211,sub-010305,sub-032512,True,False
212,sub-010306,sub-032513,True,True
213,sub-010307,sub-032514,True,False
214,sub-010308,sub-032515,True,False
215,sub-010309,sub-032516,True,False
216,sub-010310,sub-032517,True,False
217,sub-010311,sub-032518,False,False
218,sub-010312,sub-032519,False,False
219,sub-010313,sub-032520,False,False
220,sub-010314,sub-032521,True,True
221,sub-010315,sub-032522,True,False
222,sub-010316,sub-032523,False,False
223,sub-010317,sub-032524,False,False
224,sub-010318,sub-032525,True,True
225,sub-010319,sub-032526,True,True
226,sub-010320,sub-032527,False,False
227,sub-010321,sub-032528,True,False
