Initial_ID,INDI_ID
sub-010002,sub-032301
sub-010003,sub-032302
sub-010004,sub-032303
sub-010005,sub-032304
sub-010006,sub-032305
sub-010007,sub-032306
sub-010010,sub-032307
sub-010012,sub-032308
sub-010015,sub-032309
sub-010016,sub-032310
sub-010017,sub-032311
sub-010019,sub-032312
sub-010020,sub-032313
sub-010021,sub-032314
sub-010022,sub-032315
sub-010023,sub-032316
sub-010024,sub-032317
sub-010026,sub-032318
sub-010027,sub-032319
sub-010028,sub-032320
sub-010029,sub-032321
sub-010030,sub-032322
sub-010031,sub-032323
sub-010032,sub-032324
sub-010033,sub-032325
sub-010034,sub-032326
sub-010035,sub-032327
sub-010036,sub-032328
sub-010037,sub-032329
sub-010038,sub-032330
sub-010039,sub-032331
sub-010040,sub-032332
sub-010041,sub-032333
sub-010042,sub-032334
sub-010043,sub-032335
sub-010044,sub-032336
sub-010045,sub-032337
sub-010046,sub-032338
sub-010047,sub-032339
sub-010048,sub-032340
sub-010049,sub-032341
sub-010050,sub-032342
sub-010051,sub-032343
sub-010052,sub-032344
sub-010053,sub-032345
sub-010056,sub-032346
sub-010059,sub-032347
sub-010060,sub-032348
sub-010061,sub-032349
sub-010062,sub-032350
sub-010063,sub-032351
sub-010064,sub-032352
sub-010065,sub-032353
sub-010066,sub-032354
sub-010067,sub-032355
sub-010068,sub-032356
sub-010069,sub-032357
sub-010070,sub-032358
sub-010071,sub-032359
sub-010072,sub-032360
sub-010073,sub-032361
sub-010074,sub-032362
sub-010075,sub-032363
sub-010076,sub-032364
sub-010077,sub-032365
sub-010078,sub-032366
sub-010079,sub-032367
sub-010080,sub-032368
sub-010081,sub-032369
sub-010083,sub-032370
sub-010084,sub-032371
sub-010085,sub-032372
sub-010086,sub-032373
sub-010087,sub-032374
sub-010088,sub-032375
sub-010089,sub-032376
sub-010090,sub-032377
sub-010091,sub-032378
sub-010092,sub-032379
sub-010093,sub-032380
sub-010094,sub-032381
sub-010100,sub-032382
sub-010104,sub-032383
sub-010110,sub-032384
sub-010126,sub-032385
sub-010134,sub-032386
sub-010136,sub-032387
sub-010137,sub-032388
sub-010138,sub-032389
sub-010141,sub-032390
sub-010142,sub-032391
sub-010146,sub-032392
sub-010148,sub-032393
sub-010150,sub-032394
sub-010152,sub-032395
sub-010155,sub-032396
sub-010157,sub-032397
sub-010162,sub-032398
sub-010163,sub-032399
sub-010164,sub-032400
sub-010165,sub-032401
sub-010166,sub-032402
sub-010168,sub-032403
sub-010169,sub-032404
sub-010170,sub-032405
sub-010176,sub-032406
sub-010183,sub-032407
sub-010191,sub-032408
sub-010192,sub-032409
sub-010193,sub-032410
sub-010194,sub-032411
sub-010195,sub-032412
sub-010196,sub-032413
sub-010197,sub-032414
sub-010199,sub-032415
sub-010200,sub-032416
sub-010201,sub-032417
sub-010202,sub-032418
sub-010203,sub-032419
sub-010204,sub-032420
sub-010207,sub-032421
sub-010210,sub-032422
sub-010213,sub-032423
sub-010214,sub-032424
sub-010215,sub-032425
sub-010216,sub-032426
sub-010218,sub-032427
sub-010219,sub-032428
sub-010220,sub-032429
sub-010222,sub-032430
sub-010223,sub-032431
sub-010224,sub-032432
sub-010225,sub-032433
sub-010226,sub-032434
sub-010227,sub-032435
sub-010228,sub-032436
sub-010229,sub-032437
sub-010230,sub-032438
sub-010231,sub-032439
sub-010232,sub-032440
sub-010233,sub-032441
sub-010234,sub-032442
sub-010235,sub-032443
sub-010236,sub-032444
sub-010237,sub-032445
sub-010238,sub-032446
sub-010239,sub-032447
sub-010240,sub-032448
sub-010241,sub-032449
sub-010242,sub-032450
sub-010243,sub-032451
sub-010244,sub-032452
sub-010245,sub-032453
sub-010246,sub-032454
sub-010247,sub-032455
sub-010248,sub-032456
sub-010249,sub-032457
sub-010250,sub-032458
sub-010251,sub-032459
sub-010252,sub-032460
sub-010253,sub-032461
sub-010254,sub-032462
sub-010255,sub-032463
sub-010256,sub-032464
sub-010257,sub-032465
sub-010258,sub-032466
sub-010260,sub-032467
sub-010261,sub-032468
sub-010262,sub-032469
sub-010263,sub-032470
sub-010264,sub-032471
sub-010265,sub-032472
sub-010266,sub-032473
sub-010267,sub-032474
sub-010268,sub-032475
sub-010269,sub-032476
sub-010270,sub-032477
sub-010271,sub-032478
sub-010272,sub-032479
sub-010273,sub-032480
sub-010274,sub-032481
sub-010275,sub-032482
sub-010276,sub-032483
sub-010277,sub-032484
sub-010278,sub-032485
sub-010279,sub-032486
sub-010280,sub-032487
sub-010281,sub-032488
sub-010282,sub-032489
sub-010283,sub-032490
sub-010284,sub-032491
sub-010285,sub-032492
sub-010286,sub-032493
sub-010287,sub-032494
sub-010288,sub-032495
sub-010289,sub-032496
sub-010290,sub-032497
sub-010291,sub-032498
sub-010292,sub-032499
sub-010293,sub-032500
sub-010294,sub-032501
sub-010295,sub-032502
sub-010296,sub-032503
sub-010297,sub-032504
sub-010298,sub-032505
sub-010299,sub-032506
sub-010300,sub-032507
sub-010301,sub-032508
sub-010302,sub-032509
sub-010303,sub-032510
sub-010304,sub-032511
sub-010305,sub-032512
sub-010306,sub-032513
sub-010307,sub-032514
sub-010308,sub-032515
sub-010309,sub-032516
sub-010310,sub-032517
sub-010311,sub-032518
sub-010312,sub-032519
sub-010313,sub-032520
sub-010314,sub-032521
sub-010315,sub-032522
sub-010316,sub-032523
sub-010317,sub-032524
sub-010318,sub-032525
sub-010319,sub-032526
sub-010320,sub-032527
sub-010321,sub-032528
